,Job Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
11,technical sales representative,"June 14, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Humbersys Consultancy Services Inc,Concord (ON),Salary: $35.00 to $36.00 hourly (to be negotiated),2960633,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Concord , ON",$ 35.00 to $ 36.00 HOUR hourly (To be negotiated) / 30 to 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960633,Shift
12,residential construction supervisor,"June 14, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Five Rivers Contracting Inc,Etobicoke (ON),Salary: $36.50 to $39.00 hourly (to be negotiated),2960634,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Etobicoke , ON",$ 36.50 to $ 39.00 HOUR hourly (To be negotiated) / 30 to 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960634,Shift
13,retail store supervisor,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",IN & OUT CONVENIENCE STORE,Winnipeg (MB),Salary: $20.40 hourly,2960632,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","2080 NESS AVENUE Winnipeg , MB R3J 0Z3",$ 20.40 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960632,"Day, Evening, Morning"
14,food and beverage server,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",102131542 Saskatchewan Corp o/a Swifty's Casual Dining,Swift Current (SK),Salary: $14.00 hourly,2960631,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","1-701 ROBERT ST. Swift Current , SK S9H 5G1",$ 14.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960631,"Day, Evening, Weekend"
15,"assistant manager, restaurant","June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Sekhon Ventures Inc.,Maple Ridge (BC),Salary: $27.60 hourly,2960630,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Maple Ridge , BC",$ 27.60 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960630,Not specified
16,food counter attendant,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Sekhon Ventures Inc.,Maple Ridge (BC),Salary: $17.50 hourly,2960629,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","Maple Ridge , BC",$ 17.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2960629,Not specified
17,food counter attendant,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Mike and Sons Holdings Ltd,Pitt Meadows (BC),Salary: $17.50 hourly,2960626,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","Pitt Meadows , BC",$ 17.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2960626,Not specified
18,food service supervisor,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Maple Ridge Enterprises Ltd. dba Subway,Maple Ridge (BC),Salary: $20.10 hourly,2960625,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Maple Ridge , BC",$ 20.10 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2960625,Not specified
19,food service supervisor,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",H & K FAST FOODS LTD,Maple Ridge (BC),Salary: $20.10 hourly,2960624,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Maple Ridge , BC",$ 20.10 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2960624,Not specified
20,sales supervisor - retail,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Tilbury Tire Depot Ltd.,Delta (BC),Salary: $22.10 hourly,2960623,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Delta , BC",$ 22.10 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2960623,Not specified
21,kitchen helper,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Empress Family Restaurant,Elk Point (AB),Salary: $15.40 hourly,2960617,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': ['Dental plan', 'Health care plan', 'Life insurance', 'Other benefits']}","4824 50 Street Elk Point , AB T0A 1A0",$ 15.40 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960617,"Benefits:
					Health benefits, Financial benefits, Other benefits"
22,computer programs manager,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Vebcommerce,Edmonton (AB),"Salary: $76,000.00 to $78,000.00 annually (to be negotiated)",2960616,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","10060 - Jasper Avenue NW Edmonton , AB T5J 3R8","$ 76,000 to $ 78,000 YEAR annually (To be negotiated) / 30 to 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960616,"Day, Weekend"
23,food service supervisor,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Edo Japan,Kingston (ON),Salary: $16.75 hourly,2960615,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Other benefits']}","412 Princess Street Kingston , ON K7L 1B8",$ 16.75 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,4,Job Bank #2960615,"Benefits:
					Other benefits"
24,hardware development engineer,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Metasemi Technology Inc.,Kanata (ON),"Salary: $120,000.00 to $170,000.00 annually (to be negotiated)",2960614,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Health care plan', 'Group insurance benefits', 'Stocks/shares', 'Team building opportunities', 'Parking available']}","Suite 500, 1000 Innovation Drive Kanata , ON K2K 3E7 Remote work available","$ 120,000 to $ 170,000 YEAR annually (To be negotiated) / 37.5 hours per week",Permanent employment Full time,Starts as soon as possible,2,Job Bank #2960614,"Benefits:
					Health benefits, Financial benefits, Other benefits"
