,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
20,farm machinery operator,"May 27, 2024",Not specified,"May 27, 2024",Hoogland Farms Ltd,Falun (AB),Salary:$22.00 to $30.00 hourly,9296045745,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Falun , AB",$ 22.00 to $ 30.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9296045745,Not specified
21,farm labourer - livestock,"June 04, 2024",2024-06-21,"June 04, 2024",Carefoot Farms Ltd,Swift Current (SK),Salary not available,1357098,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Swift Current , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1357098,Not specified
22,dairy farm labourer,"June 12, 2024",2024-07-12,"June 12, 2024",Knittig Farms Ltd.,Annaheim (SK),Salary not available,1347438,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Annaheim , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1347438,Not specified
23,"farm labourer, grain","May 24, 2024",2024-07-31,"May 24, 2024",Johner Farms Ltd.,Midale (SK),Salary:Negotiable,1353853,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Midale , SK",Negotiable,Not specified,Starts as soon as possible,Not specified,SaskJobs #1353853,Not specified
24,farm machinery operator,"May 23, 2024",2024-06-22,"May 23, 2024",Swift Connect INC,Delta (BC),Salary:$23.00 hourly,2931397,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Delta , BC",$ 23.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2931397,Permanent placement opportunity
25,dairy farm labourer,"May 30, 2024",2024-06-29,"May 30, 2024",LOVHOLM HOLSTEINS,Balgonie (SK),Salary:Starting wage $15/hr.  Increases depending on dependability/experience,1355761,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Balgonie , SK",$ 15.00 HOUR hourly,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355761,Not specified
26,ranch hand,"June 04, 2024",Not specified,"June 04, 2024",Holman Farming Group,Luseland (SK),Salary not available,959940,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Luseland , SK",Not available,Seasonal employment,Starts as soon as possible,1 vacancy,AgCareers.com #959940,Not specified
27,farm equipment operator,"May 31, 2024",Not specified,"May 31, 2024",Richardson International Limited,Bow Island (AB),Salary not available,959720,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bow Island , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959720,Not specified
28,farm equipment operator,"June 11, 2024",Not specified,"June 11, 2024",Red River Forage,Ste. Agathe (MB),Salary:$28.00 hourly,9318820888,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ste. Agathe , MB",$ 28.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318820888,Not specified
29,ranch hand,"May 23, 2024",Not specified,"May 23, 2024",Pallister Farms Livestock Ltd.,Dundalk (ON),Salary not available,959317,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dundalk , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959317,Not specified
30,farm equipment operator,"June 06, 2024",Not specified,"June 06, 2024",Richardson International Limited,Barrhead (AB),Salary not available,960046,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Barrhead , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960046,Not specified
31,stable hand,"June 12, 2024",Not specified,"June 12, 2024",Bogar Farms,Cameron (ON),Salary:$17.00 to $20.00 hourly,9319934213,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cameron , ON",$ 17.00 to $ 20.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9319934213,Not specified
32,swine technician,"May 21, 2024",2024-06-21,"May 21, 2024",Maple Leaf Agri-Farms,Perdue (SK),Salary:19.00 to 24.00 per hour,1340169,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Perdue , SK",$ 19.00 to $ 24.00 HOUR hourly,Not specified,Starts as soon as possible,Not specified,SaskJobs #1340169,Not specified
33,farm equipment operator,"June 12, 2024",Not specified,"June 12, 2024",CMI Terminal Ltd.,Naicam (SK),Salary not available,960363,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Naicam , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960363,Not specified
34,farm equipment operator,"June 12, 2024",Not specified,"June 12, 2024",The Andersons Inc.,Bethany (ON),Salary not available,960330,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bethany , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960330,Not specified
35,farm equipment operator,"June 11, 2024",Not specified,"June 11, 2024",Wilbur-Ellis Company,Lethbridge (AB),Salary not available,960255,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Lethbridge , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960255,Not specified
36,farm equipment operator,"June 10, 2024",Not specified,"June 10, 2024",Richardson International Limited,Kindersley (SK),Salary not available,960183,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kindersley , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960183,Not specified
37,farm equipment operator,"June 07, 2024",Not specified,"June 07, 2024",Richardson International Limited,Portage la Prairie (MB),Salary not available,960108,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Portage la Prairie , MB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960108,Not specified
38,farm equipment operator,"June 07, 2024",Not specified,"June 07, 2024",Richardson International Limited,Humboldt (SK),Salary not available,960105,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Humboldt , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960105,Not specified
39,farm equipment operator,"June 06, 2024",Not specified,"June 06, 2024",Richardson International Limited,Whitewood (SK),Salary not available,960045,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitewood , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960045,Not specified
40,farm equipment operator,"June 04, 2024",Not specified,"June 04, 2024",Richardson International Limited,Yorkton (SK),Salary not available,959877,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Yorkton , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959877,Not specified
41,farm equipment operator,"June 03, 2024",Not specified,"June 03, 2024",Richardson International Limited,Assiniboia (SK),Salary not available,959813,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Assiniboia , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959813,Not specified
42,farm equipment operator,"May 31, 2024",Not specified,"May 31, 2024",Richardson International Limited,High Level (AB),Salary not available,959724,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","High Level , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959724,Not specified
43,farm equipment operator,"May 31, 2024",Not specified,"May 31, 2024",Richardson International Limited,Carseland (AB),Salary not available,959725,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Carseland , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959725,Not specified
44,farm equipment operator,"May 29, 2024",Not specified,"May 29, 2024",Richardson International Limited,Canora (SK),Salary not available,959604,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Canora , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959604,Not specified
