Title,Employer,Location,Date,Description,Industry,Source,Link
Group Fitness Instructor - Stretch & Relax,GOODLIFE FITNESS,Quispamsis,"Jun 24, 2024","GROUP FITNESS INSTRUCTOR Who is a Group Fitness Instructor? A Group Fitness Instructor provides instruction of a high quality, safe and enjoyable experience in all Group Fitness classes. What will you be doing? - Provide instruction of a high...","Arts, Cultural, Recreation, Sports",CareerBeacon,https://www.careerbeacon.com/en/job-4/1370731/goodlife-fitness/group-fitness-instructor-stretch-relax/quispamsis-nb
Food Service Supervisor,ck investments inc.,Bouctouche,"Jun 24, 2024","Overview Languages English Education - No degree, certificate or diploma Experience Experience an asset Responsibilities Tasks - Supervise and co-ordinate activities of staff who prepare and portion food - Train staff in job duties, sanitation and...","Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41339499?source=searchresults
SERVICE MANAGER - RETAIL,Yard Gear Sales & Service,Fredericton,"Jun 24, 2024",Overview Languages English Education - Secondary (high) school graduation certificate Experience Experience an asset Work setting - Retail business - Shopwork Level of expertise - Technician Responsibilities Tasks - Direct and control daily...,Management,Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41339761?source=searchresults
Rehabilitation Aide,Windsor Court Retirement Residence (2020) Ltd.,Fredericton,"Jun 24, 2024",Overview Languages English Education - Other trades certificate or diploma - or equivalent experience - Kinesiology and exercise science - Movement therapy Experience Experience an asset Work setting - Nursing home/home for the aged Responsibilities...,Health,Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41340499?source=searchresults
Journeyman/woman roofer,Atlantic Roofers Limited,Moncton,"Jun 24, 2024",Overview Languages English or French Education - Other trades certificate or diploma Experience 3 years to less than 5 years Work site environment - At heights - Outdoors Work setting - Commercial - Industrial - Institutional Responsibilities Tasks...,"Trades, Transport, Construction",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41340514?source=searchresults
Household electrical appliance repairman/woman,House Of Fixtures LTD,Bathurst,"Jun 24, 2024",Overview Languages Bilingual Education - Secondary (high) school graduation certificate - or equivalent experience Experience 1 to less than 7 months Work setting - On-site customer service - Various locations Responsibilities Tasks - Prepare...,"Trades, Transport, Construction",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41339453?source=searchresults
Food Service Supervisor,TIM Hortons,Oromocto,"Jun 24, 2024","Employer Name: Tim Hortons SpiderID: 13752720 Location: Oromocto, NB, New Brunswick, New Brunswick Date Posted: 5/22/2024 Wage: $15.30- $17.50 Category: Restaurant/Bar/Club/Food/Beverages Job Code: Number Of Openings: 1 Job Description: Employer:...","Sales, Services",JobSpider,https://www.jobspider.com/job/view-job-13752720.html
Seniors Navigator,Ability New Brunswick,Moncton,"Jun 24, 2024","Join the Ability NB team! Seniors Navigator - Moncton (full-time, remote work possible) - Are you a ""people person"" who gets satisfaction from supporting others' success through problem solving? - Are you looking for a job that allows you to apply...",Unclassified occupation,CareerBeacon,https://www.careerbeacon.com/en/job/2087011/ability-new-brunswick/seniors-navigator/moncton-nb
Youth Advisor,YMCA of Greater Saint John,Saint John,"Jun 24, 2024","Salary: The YMCA of Southwestern New Brunswick responds to critical social needs in the community and works to provide solutions. By nurturing the potential of children, youth and adults, the YMCA connects people to life-building opportunities, as...","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job-9/1369944/ymca-of-greater-saint-john/youth-advisor/saint-john-nb
"Assistante administrative XI ou Assistant administratif XI, Maîtrise des études en environnement, FESR",UniversitÉ De Moncton,Moncton,"Jun 24, 2024","Relevant de la direction des programmes de cycle supérieur en études de l'environnement (MÉE, MPÉE, DÉSÉE, CÉE, MÉE-JD), la personne occupant ce poste effectue les tâches administratives reliées aux activités quotidiennes du secrétariat....","Business, Finance, Administration",CareerBeacon,https://www.careerbeacon.com/en/job/2087012/universite-de-moncton/assistante-administrative-xi-ou-assistant-administratif-xi-maitrise-des-etudes-en-environnement-fesr/moncton-nb
Tire changer - automotive service,Hunter Lake Tire,Rothesay,"Jun 24, 2024",Overview Languages English Education - Secondary (high) school graduation certificate - or equivalent experience Experience 1 year to less than 2 years Responsibilities Tasks - Repair and balance tires Experience and specialization Installation...,"Trades, Transport, Construction",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41340948?source=searchresults
Shipping And Receiving Clerk,Hunter Lake Tire,Rothesay,"Jun 24, 2024",Overview Languages English Education - Secondary (high) school graduation certificate - or equivalent experience Experience 1 year to less than 2 years Work setting - Retail service establishment - Warehouse - Retail/wholesale...,"Business, Finance, Administration",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41341027?source=searchresults
Regional Industrial Engineer - Eastern Canada,Sun Gro Horticulture,Inkerman,"Jun 24, 2024","Sun Gro Horticulture is one of the most prominent North American horticultural companies, employing over 800 staff and serving customers worldwide. Since its humble beginnings in 1929, it has become the leading supplier of soilless growing mixes to...","Engineers, Architects, IT, Natural Science",CareerBeacon,https://www.careerbeacon.com/en/job-9/1370341/sun-gro-horticulture/regional-industrial-engineer-eastern-canada/inkerman-nb
Miramichi Pharmacy Assistant (1043) PCN 9757507,Horizon Health Network,Miramichi,"Jun 24, 2024","JOB PURPOSE The Pharmacy Assistant is responsible for acquiring, preparing, and distributing medications and pharmaceutical products. QUALIFICATIONS - Recognized post-secondary Pharmacy Assistant training program and Pharmacy Assistant training or...",Health,CareerBeacon,https://www.careerbeacon.com/en/job/2086973/horizon-health-network/miramichi-pharmacy-assistant-1043-pcn-9757507/miramichi-nb
Miramichi Registered Nurse Class A (RNCA) PCN 1155267,Horizon Health Network,Miramichi,"Jun 24, 2024","JOB PURPOSE To participate in the planning and delivery of total nursing care to meet individual patient needs in accordance with the philosophy, objectives and policies of the nursing service and Addiction/Mental Health Program. Performs other...",Health,CareerBeacon,https://www.careerbeacon.com/en/job/2086981/horizon-health-network/miramichi-registered-nurse-class-a-rnca-pcn-1155267/miramichi-nb
Miramichi Pharmacy Technician (1060) PCN 9757815,Horizon Health Network,Miramichi,"Jun 24, 2024","JOB PURPOSE The Pharmacy Technician is responsible to interact with patients to gather medication related information and to provide instruction, checking accuracy of medication preparation by others, supervising Pharmacy Technician students and...",Health,CareerBeacon,https://www.careerbeacon.com/en/job/2086974/horizon-health-network/miramichi-pharmacy-technician-1060-pcn-9757815/miramichi-nb
Moncton Administrative Support (Clinical) (1025) PCN 9000332,Horizon Health Network,Moncton,"Jun 24, 2024","JOB PURPOSE The Administrative Support - Clinical is responsible for providing administrative support for a clinic, department or program. QUALIFICATIONS - High school graduation and an administrative support program of greater than one year and up...","Business, Finance, Administration",CareerBeacon,https://www.careerbeacon.com/en/job/2086975/horizon-health-network/moncton-administrative-support-clinical-1025-pcn-9000332/moncton-nb
Miramichi Medical Laboratory Assistant/Phlebotomist (3041) PCN 1750749,Horizon Health Network,Miramichi,"Jun 24, 2024",ANTICIPATED END DATE: 02 Jul 2025 JOB PURPOSE The Medical Laboratory Assistant is responsible for assisting with pre and post analytical tasks and routine technical and laboratory support procedures. QUALIFICATIONS - Graduate of a Medical Laboratory...,Health,CareerBeacon,https://www.careerbeacon.com/en/job/2086978/horizon-health-network/miramichi-medical-laboratory-assistant-phlebotomist-3041-pcn-1750749/miramichi-nb
Miramichi Diagnostic Imaging Technologist 2 (DI02) PCN 1750796,Horizon Health Network,Miramichi,"Jun 24, 2024",ANTICIPATED END DATE: 31 Jul 2026 JOB PURPOSE The Diagnostic Imaging Technologist is responsible for technical and clinical work involving the provision of radiography procedures. QUALIFICATIONS - Graduate of a Radiological Technology Program. -...,Health,CareerBeacon,https://www.careerbeacon.com/en/job/2086972/horizon-health-network/miramichi-diagnostic-imaging-technologist-2-di02-pcn-1750796/miramichi-nb
Miramichi Occupational Therapist 1 (OT01) PCN 1154550,Horizon Health Network,Miramichi,"Jun 24, 2024","JOB PURPOSE The Occupational Therapist – Addictions and Mental Health is responsible for providing assessment, consultation and clinical services to enable individuals to engage in occupations of life. QUALIFICATIONS - A University degree in a...",Health,CareerBeacon,https://www.careerbeacon.com/en/job/2086980/horizon-health-network/miramichi-occupational-therapist-1-ot01-pcn-1154550/miramichi-nb
Portfolio Management Officer,Department of Social Development,Fredericton,"Jun 24, 2024","NEW BRUNSWICK HOUSING CORPORATION PORTFOLIO MANAGEMENT OFFICER (Pay Band 4) open COMPETITION The New Brunswick Housing Corporation is seeking individuals to join the Housing team as a Portfolio Management Officers in our Central Zone (Fredericton,...",Management,CareerBeacon,https://www.careerbeacon.com/en/job/2086997/department-of-social-development/portfolio-management-officer/fredericton-nb
AGENT OU AGENTE DE GESTION DE PORTEFEUILLE,Department of Social Development,Fredericton,"Jun 24, 2024",SOCIÉTÉ D'HABITATION DU NOUVEAU-BRUNSWICK AGENT OU AGENTE DE GESTION DE PORTEFEUILLE (Échelle salariale 4) CONCOURS PUBLIC La Société d'habitation du Nouveau-Brunswick est à la recherche des personnes pour se joindre à l'équipe du d'habitation à...,Management,CareerBeacon,https://www.careerbeacon.com/en/job/2086998/department-of-social-development/agent-ou-agente-de-gestion-de-portefeuille/fredericton-nb
AGENT-E DES PROGRAMMES DE LOGEMENT,Department of Social Development,Woodstock,"Jun 24, 2024",SOCIÉTÉ D'HABITATION DU NOUVEAU-BRUNSWICK AGENT-E DES PROGRAMMES DE LOGEMENT Concours public La Société d'habitation du Nouveau-Brunswick (SHNB) est à la recherche d'une personne axée sur la collectivité et motivée pour travailler comme Agente de...,Management,CareerBeacon,https://www.careerbeacon.com/en/job/2086996/department-of-social-development/agent-e-des-programmes-de-logement/woodstock-nb
Community and social services worker,"The John Howard Society of Fredericton, Inc.",Fredericton,"Jun 24, 2024","Overview Languages English Education - Bachelor's degree - or equivalent experience Experience 3 years to less than 5 years Work site environment - Socio-economic needs or conditions (housing, nutrition, unemployment, financial assistance) -...","Social, Legal, Education, Gov't",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41340105?source=searchresults
TMF Forum Application Architect,TV2 Consulting,Saint John,"Jun 24, 2024","TV2 Consulting is seeking an experienced TMF Forum Application Architect to join our team. As the TMF Forum Application Architect, you will play a critical role in designing, developing, and implementing solutions based on the Telecommunications...","Engineers, Architects, IT, Natural Science",CareerBeacon,https://www.careerbeacon.com/en/job-9/1369822/tv2-consulting/tmf-forum-application-architect/saint-john-nb
Adobe Analytics Specialist,TV2 Consulting,Saint John,"Jun 24, 2024","TV2 is seeking a talented Adobe Analytics Specialist to join our team. As an Adobe Analytics Specialist, you will play a crucial role in leveraging data to drive business insights, optimize digital marketing campaigns, and enhance user experiences...","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job-1/792123/tv2-consulting/adobe-analytics-specialist/saint-john-nb
Control Systems Application and Management Specialist,Meridia Recruitment Solutions,Saint John,"Jun 24, 2024","REF# - JG-18224 Founded in 1924, Irving Oil operates Canada's largest refinery in Saint John, New Brunswick, along with more than 900 fuelling locations and a network of distribution terminals spanning Eastern Canada and New England. It also...","Engineers, Architects, IT, Natural Science",CareerBeacon,https://www.careerbeacon.com/en/job/2087010/meridia-recruitment-solutions/control-systems-application-and-management-specialist/saint-john-nb
"Seeking Pediatric Ophthalmologist NYC Suburbs, Long Island",Northwell Health,Location Unknown,"Jun 24, 2024","Seeking Pediatric Ophthalmologist – NYC Suburbs, Long Island Northwell Health is seeking dynamic Comprehensive Pediatric Ophthalmologist for employment at our Long Island offices. The candidate will be a member of the full time faculty at the Donald...",Health,Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/seeking-pediatric-ophthalmologist-nyc-suburbs-long-island-50869752
Transport truck mechanic,Manpower Services Canada Limit,Saint John,"Jun 24, 2024","Overview Languages English Education - Registered Apprenticeship certificate Experience 2 years to less than 3 years Green job Help - Green job - Help Green job - Help Green jobs contribute to environmental preservation, conservation, and...","Trades, Transport, Construction",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41342807?source=searchresults
Transport truck mechanic,Manpower Services Canada Limit,Bathurst,"Jun 24, 2024","Overview Languages English Education - Secondary (high) school graduation certificate Experience 3 years to less than 5 years Green job Help - Green job - Help Green job - Help Green jobs contribute to environmental preservation, conservation, and...","Trades, Transport, Construction",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41342776?source=searchresults
Transport truck mechanic,Manpower Services Canada Limit,Fredericton,"Jun 24, 2024","Overview Languages English Education - Registered Apprenticeship certificate Experience 2 years to less than 3 years Responsibilities Tasks - Adjust, repair or replace parts and components of commercial transport truck systems - Inspect and test...","Trades, Transport, Construction",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41342769?source=searchresults
server - food and beverage services,Ducks Aren't Real Restaurant,Sackville,"Jun 24, 2024","Overview Languages English Education - No degree, certificate or diploma Experience Experience an asset Work setting - Restaurant - Bistro Responsibilities Tasks - Must be of legal age to mix and serve alcoholic beverages - Present bills to...","Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41340534?source=searchresults
Cook,Ducks Aren't Real Restaurant,Sackville,"Jun 24, 2024","Overview Languages English Education - No degree, certificate or diploma Experience Experience an asset Work setting - Restaurant Responsibilities Tasks - Prepare and cook complete meals or individual dishes and foods - Clean kitchen and work areas...","Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41183904?source=searchresults
Food Service Supervisor,K.U.Saffron Indian Foods Inc,Fredericton,"Jun 24, 2024",Overview Languages English Education - Secondary (high) school graduation certificate Experience 1 year to less than 2 years Work setting - Restaurant Responsibilities Tasks - Establish methods to meet work schedules - Supervise and co-ordinate...,"Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41343073?source=searchresults
Line Cook,1919598 Ontario Limited,Moncton,"Jun 24, 2024",Overview Languages English Education - Secondary (high) school graduation certificate Experience 7 months to less than 1 year Work setting - Restaurant Responsibilities Tasks - Prepare and cook complete meals or individual dishes and foods - Train...,"Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/40428995?source=searchresults
Cook,Red Satay Restaurant,Moncton,"Jun 24, 2024",Overview Languages English Education - Secondary (high) school graduation certificate Experience 1 year to less than 2 years Work setting - Restaurant Responsibilities Tasks - Prepare and cook complete meals or individual dishes and foods - Prepare...,"Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41339469?source=searchresults
General Store Manager,Nga Nguyen,Moncton,"Jun 24, 2024",Overview Languages English Education - Bachelor's degree Experience 1 year to less than 2 years Responsibilities Tasks - Manage staff and assign duties - Plan budgets and monitor revenues and expenses - Determine staffing requirements - Resolve...,Management,Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41339108?source=searchresults
service advisor - auto repair,Gestion SHM Inc.,Edmundston,"Jun 24, 2024",Overview Languages Bilingual Education - Secondary (high) school graduation certificate - or equivalent experience Experience Experience an asset Work setting - Rural area - Urban area Responsibilities Tasks - Address customers' complaints or...,"Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41339807?source=searchresults
GENERAL OFFICE WORKER,Country Lane Estates NB INC,Burton,"Jun 24, 2024","Overview Languages English Education - College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years Experience 1 year to less than 2 years Responsibilities Tasks - Type and proofread correspondence, forms and...","Business, Finance, Administration",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41340006?source=searchresults
Cook,OLE HIBACHI RESTAURANT,Dieppe,"Jun 24, 2024",Overview Languages English Education - Secondary (high) school graduation certificate Experience 1 year to less than 2 years Work setting - Restaurant Responsibilities Tasks - Prepare and cook complete meals or individual dishes and foods - Inspect...,"Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41120106?source=searchresults
Office Administrative Assistant,YA MU SPECIAL CARE HOME INC.,Saint John,"Jun 24, 2024","Overview Languages English Education - College/CEGEP - or equivalent experience Experience 5 years or more Work setting - Health care institution, facility or clinic - Urban area Responsibilities Tasks - Arrange and co-ordinate seminars,...","Business, Finance, Administration",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41313812?source=searchresults
Carpenter,AnyDay Plumbing & Renos,Fredericton,"Jun 24, 2024",Overview Languages English Education - Other trades certificate or diploma - or equivalent experience Experience 5 years or more Work site environment - At heights - Confined spaces - Noisy - Dusty - Outdoors Work setting - Construction - Renovation...,"Trades, Transport, Construction",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41323670?source=searchresults
Contact Center Representative,CAA Atlantic,Saint John,"Jun 24, 2024","The CAA Atlantic Roadside Assistance Contact Center is a small and welcoming team. We interact directly with members, when they need us the most - when they are having trouble with their vehicle! Flat tires, boosts, battery installations, lockouts,...","Sales, Services",CareerBeacon,https://www.careerbeacon.com/en/job/2086982/caa-atlantic/contact-center-representative/saint-john-nb
Dispatchers supervisor,Checker Cab & Deliveries,Richibucto,"Jun 24, 2024","Employer Name: Checker Cab & Deliveries SpiderID: 13630501 Location: RICHIBUCTO, New Brunswick Date Posted: 12/22/2023 Wage: $27.79 per hour Category: Dispatcher Job Code: Number Of Openings: 1 Job Description: Job Description: Location: 3 Homestead...","Business, Finance, Administration",JobSpider,https://www.jobspider.com/job/view-job-13630501.html
Cook,Oriental Pearl Restaurant,Fredericton,"Jun 24, 2024",Overview Languages English Education - Secondary (high) school graduation certificate Experience 1 year to less than 2 years Responsibilities Tasks - Prepare and cook complete meals or individual dishes and foods - Prepare dishes for customers with...,"Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/40358991?source=searchresults
Food Service Counter Attendant,Oriental Pearl Restaurant,Fredericton,"Jun 24, 2024","Overview Languages English Education - Secondary (high) school graduation certificate Experience Will train Responsibilities Tasks - Bring clean dishes, flatware and other items to serving areas and set tables - Carrying and replace linen - Clean...","Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/40358992?source=searchresults
Community Resource Navigator (Service Navigator) | Bilingual,Findhelp Information Services,Saint John,"Jun 24, 2024","French/English Full-Time Permanent Team 211 is expanding! We're looking for people who are passionate about their communities and care about connecting people to the help that they need, when they need it. THE OPPORTUNITY: The Service Navigator...","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2086992/findhelp-information-services/community-resource-navigator-service-navigator-bilingual/moncton-nb
Community Resource Navigator (Service Navigator) | Bilingual,Findhelp Information Services,Fredericton,"Jun 24, 2024","French/English Full-Time Permanent Team 211 is expanding! We're looking for people who are passionate about their communities and care about connecting people to the help that they need, when they need it. THE OPPORTUNITY: The Service Navigator...","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2086992/findhelp-information-services/community-resource-navigator-service-navigator-bilingual/moncton-nb
Community Resource Navigator (Service Navigator) | Bilingual,Findhelp Information Services,Moncton,"Jun 24, 2024","French/English Full-Time Permanent Team 211 is expanding! We're looking for people who are passionate about their communities and care about connecting people to the help that they need, when they need it. THE OPPORTUNITY: The Service Navigator...","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2086992/findhelp-information-services/community-resource-navigator-service-navigator-bilingual/moncton-nb
Mechanic - Urgently Hiring!,United Rentals,Saint John,"Jun 23, 2024","Great company. Great people. Great opportunities. If you’d like the chance to make your mark with the world’s largest equipment rental provider, come build your future with United Rentals! As a Diesel Mechanic – Customer Equipment Solutions (Service...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/mechanic-urgently-hiring-50913719
Mechanic - CES/Mecanicien - CES,"0050 United Rentals of Canada, Inc.",Bathurst,"Jun 23, 2024","Great company. Great people. Great opportunities. If you’d like the chance to make your mark with the world’s largest equipment rental provider, come build your future with United Rentals! As a Diesel Mechanic - Customer Equipment Solutions (Service...","Sales, Services","United Rentals, Inc.",https://ur.wd1.myworkdayjobs.com/en-US/URcareers/job/Bathurst-NB-CAN/Mechanic---CES_61259
Mechanic - CES/Mecanicien - CES - Now Hiring!,United Rentals,Bathurst,"Jun 23, 2024","Great company. Great people. Great opportunities. If you’d like the chance to make your mark with the world’s largest equipment rental provider, come build your future with United Rentals! As a Diesel Mechanic - Customer Equipment Solutions (Service...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/mechanic-cesmecanicien-ces-now-hiring-50916513
Mechanic - Power HVAC,United Rentals,Moncton,"Jun 23, 2024","Great company. Great people. Great opportunities. If you’d like the chance to make your mark with the world’s largest equipment rental provider, come build your future with United Rentals! As a Power HVAC Mechanic within the Power/HVAC division at...","Sales, Services","United Rentals, Inc.",https://ur.wd1.myworkdayjobs.com/en-US/URcareers/job/Moncton-NB-CAN/Mechanic---Power-HVAC_63141-1
Fashion Associate (Part time) - Sugarloaf Mall,Reitmans,Atholville,"Jun 23, 2024","With over 230 stores across the country, Reitmans is leading Canadian women’s fashion by championing self-acceptance and inclusivity to a growing and loyal customer base. We know great fashion fits great women, and not the other way around. Our...","Sales, Services",Reitmans,https://jobs.smartrecruiters.com/ReitmansCanadaLteLtd/eb0ca286-d911-49ca-ad84-16a238df8ec4
Shipping / Receiving Administrator,Advantage Personnel,Saint John,"Jun 23, 2024","Job Shipping / Receiving Administrator Location: Saint John, NB Shift/Hours: Monday – Friday, 7:30 am – 4:00 pm Pay Rate: $20.00/hr Assignment Information: Advantage Personnel is currently recruiting for Shipping/Receiving Administrator to join our...","Business, Finance, Administration",CareerBeacon,https://www.careerbeacon.com/en/job/2083074/advantage-personnel/shipping-receiving-administrator/saint-john-nb
Pre-Delivery Inspection Laborer,Brandt,Moncton,"Jun 23, 2024",Brandt is currently looking to hire a Pre-Delivery Inspection Labourer in our Moncton location. This position is responsible for assisting in the setup of new construction heavy equipment and components. DUTIES & RESPONSIBILITIES - Cleaning parts...,"Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/predelivery-inspection-laborer-50913001
REAR LOAD DRIVER,Municipal Group of Companies,Saint John,"Jun 23, 2024","Fero Waste and Recycling Inc, a division of The Municipal Group of Companies, is a solid waste company that services New Brunswick and Nova Scotia and is currently seeking the knowledge and expertise of a Rear Load Driver. Job Summary: The Rear Load...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/rear-load-driver-50916485
ROLL OFF DRIVER,Municipal Group of Companies,Saint John,"Jun 23, 2024","Fero Waste and Recycling Inc, a division of The Municipal Group of Companies, is a solid waste company that services New Brunswick and Nova Scotia and is currently seeking the knowledge and expertise of a Roll-Off Operator. Job Summary: The Roll-Off...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/roll-off-driver-50914368
Vac/ Flush Truck Driver,Municipal Group of Companies,Fredericton,"Jun 23, 2024","Ready John Inc., part of the Environmental Services Group of the Municipal Group of Companies – was one of the first companies to introduce portable sanitation to the province of New Brunswick. Over the years, we have brought innovative ideas and...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/vac-flush-truck-driver-50913663
CLASS 1 and 3 DRIVERS,Municipal Group of Companies,Fredericton,"Jun 23, 2024","Dexter Construction Company is a large, diversified Construction Company engaged in all major aspects of the heavy civil construction industry within the Atlantic Provinces. We are currently looking for Class 1 and 3 Drivers to join our operations...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/class-1-and-3-drivers-50916457
