Job Title,Job ID,Location,Department,Posted Date,Close Date
Clinical Supervisor (SW20),163307,Charlottetown,HS/MH&A/Richmond Centre,06/25/2024,07/11/2024
Medical Radiation Technologist 2 - MRI,163492,Charlottetown,HS/HSPF/HP/QEH/MRI Unit,06/25/2024,07/11/2024
Medical Secretary 2,161190,Charlottetown,HS/CHSC/Networks-Queens East,06/25/2024,Open Until Filled
Patient Care Worker,163332,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,06/25/2024,07/11/2024
Registered Nurse 1 (QEH, Emergency),163172,Charlottetown,HS/HSPF/NS/QEH/Nrsg Emergency,06/25/2024,Open Until Filled
Registered Nurse 1 (QEH, Emergency),163171,Charlottetown,HS/HSPF/NS/QEH/Nrsg Emergency,06/25/2024,Open Until Filled
Registered Nurse 2,163277,Summerside,HS/CHSC/WedgewoodM/LTC Nursing,06/25/2024,Open Until Filled
Registered Nurse 3,162867,Charlottetown,HS/MH&A/NS/HH/Nrsg Admin,06/25/2024,Open Until Filled
Resident Care Worker,160150,Souris,HS/CHSC/ColvilleM/LTC Nursing,06/25/2024,07/11/2024
Resident Care Worker,163227,Charlottetown,HS/CHSC/BGH/Meadowview,06/25/2024,07/11/2024
Social Worker 19,161174,Charlottetown,HS/MH&A/MASST Three Oaks,06/25/2024,07/11/2024
Social Worker 19 - Student Well Being Team,158748,Charlottetown,HS/MH&A/MASST Bluefield Sch,06/25/2024,07/11/2024
Ward Clerk(Emergency),161563,Charlottetown,HS/HSPF/NS/QEH/Nrsg Emergency,06/25/2024,07/11/2024
Executive Administrative Assistant,162599,Charlottetown,AF/DeptMgmt/Corporate Services,06/24/2024,07/10/2024
INFECTION CONTROL NURSE (Registered Nurse 3),163461,Charlottetown,HS/MH&A/NS/HH/Nrsg Admin,06/24/2024,07/10/2024
LPN,162056,O'Leary,HS/CHSC/MSEH/LTC Nursing,06/24/2024,07/10/2024
LPN (Female Only),159973,Charlottetown,HS/MH&A/NS/HH/UnitC-PreDischrg,06/24/2024,07/10/2024
Manager, Emergency Measures Organization,163367,Charlottetown,AG/PS&P/Emergency Measures,06/24/2024,07/10/2024
Mental Health Social WorkerL19,163329,Charlottetown,HS/MH&A/Yth Mental Hlth & A,06/24/2024,07/10/2024
Occupational Therapist 2,163295,O'Leary,HS/HSPF/CommH/Physio & Occ T,06/24/2024,Open Until Filled
Registered Nurse 1,163317,Alberton,HS/HSPF/WesternH/Emergency,06/24/2024,Open Until Filled
Resident Care Worker,163166,Tyne Valley,HS/CHSC/StewartM/LTC Nursing,06/24/2024,07/10/2024
Social Worker 17A (Mental Health & Addiction Social Work Group Facilitator),162984,Summerside,HS/MH&A/Mental Health/West,06/24/2024,07/10/2024
Social Worker L19D,159618,Charlottetown,HS/MH&A/Richmond Centre,06/24/2024,07/10/2024
(2)  Addiction Counsellor - FACT,162743,Charlottetown,HS/MH&A/McGill Centre,06/21/2024,07/09/2024
(2) Préposé(e)s aux soins à domicile bilingues,162881,Summerside,HS/CHSC/HC/Summerset/Day Progr,06/21/2024,07/09/2024
(Temp) Program Officer 17,163413,Charlottetown,HS/CHSC/CommSpecialstSrv-Admin,06/21/2024,07/09/2024
2 - (BIL) Home Support Worker,162881,Summerside,HS/CHSC/HC/Summerset/Day Progr,06/21/2024,07/09/2024
Casual LPN,163468,Charlottetown,HS/CHSC/Obs Clinic,06/21/2024,07/09/2024
Food Service Supervisor 2,162913,Summerside,HS/HSPF/SP/PCH/Nutrition Serv,06/21/2024,07/09/2024
LPN,161286,Summerside,HS/CHSC/SummersetM/LTC Nursing,06/21/2024,07/09/2024
Licensed Practical Nurse  (Emergency Department - Mental Health Crisis Response),163286,Summerside,HS/HSPF/NS/PCH/Crisis Response,06/21/2024,07/09/2024
Resident Care Worker,162826,Tyne Valley,HS/CHSC/WedgewoodM/NrsgReplace,06/21/2024,07/09/2024
Social Worker 18,162441,Charlottetown,HS/MH&A/NS/HH/ACPU S&S,06/21/2024,07/09/2024
Social Worker L19D,162619,Charlottetown,HS/MH&A/Richmond Centre,06/21/2024,07/09/2024
Cas. Clerk 2,163433,Charlottetown,HS/HSPF/HP/QEH/Phys Med Admin,06/20/2024,07/08/2024
BIL Resident Care Worker,162965,Charlottetown,HS/CHSC/BGH/Harbour,06/26/2024,07/12/2024
Casual Addiction Workers,163538,Charlottetown,HS/MH&A/AD Transition Unit,06/26/2024,07/12/2024
Clerk 4,163548,Charlottetown,HS/Fin/Comptroller-Bus.Off.,06/26/2024,07/12/2024
Clinical Intake Therapist,162735,Montague,HS/MH&A/ComMentalHlth-East,06/26/2024,07/12/2024
Dietitian 17A,162379,Charlottetown,HS/HSPF/SP/QEH/Nutrition Serv,06/26/2024,07/12/2024
LPN - Replacement,162083,Alberton,HS/HSPF/CommH/Nrsg Replacement,06/26/2024,07/12/2024
LPN - Replacement,159320,O'Leary,HS/HSPF/CommH/Nrsg Replacement,06/26/2024,07/12/2024
Mgr, Programs&CommIntregration,163513,Charlottetown,HS/MH&A/NS/HH/Nrsg Admin,06/26/2024,07/12/2024
Patient Care Worker (Unit 1),163382,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 1,06/26/2024,07/12/2024
Préposée ou préposé aux soins bilingue,162965,Charlottetown,HS/CHSC/BGH/Harbour,06/26/2024,07/12/2024
RN 2 - Replacement,163536,Summerside,HS/CHSC/WedgewoodM/NrsgReplace,06/26/2024,07/12/2024
Social Worker 17A,160426,Charlottetown,HS/MH&A/Richmond Centre,06/26/2024,07/12/2024
Social Worker 19 (Social Work),162749,Charlottetown,HS/HSPF/HP/QEH/Social Work,06/26/2024,07/05/2024
Clinical Supervisor (SW20),163307,Charlottetown,HS/MH&A/Richmond Centre,06/25/2024,07/11/2024
Medical Radiation Technologist 2 - MRI,163492,Charlottetown,HS/HSPF/HP/QEH/MRI Unit,06/25/2024,07/11/2024
Medical Secretary 2,161190,Charlottetown,HS/CHSC/Networks-Queens East,06/25/2024,Open Until Filled
Patient Care Worker,163332,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,06/25/2024,07/11/2024
Registered Nurse 1 (QEH, Emergency),163172,Charlottetown,HS/HSPF/NS/QEH/Nrsg Emergency,06/25/2024,Open Until Filled
Registered Nurse 1 (QEH, Emergency),163171,Charlottetown,HS/HSPF/NS/QEH/Nrsg Emergency,06/25/2024,Open Until Filled
Registered Nurse 2,163277,Summerside,HS/CHSC/WedgewoodM/LTC Nursing,06/25/2024,Open Until Filled
Registered Nurse 3,162867,Charlottetown,HS/MH&A/NS/HH/Nrsg Admin,06/25/2024,Open Until Filled
Resident Care Worker,160150,Souris,HS/CHSC/ColvilleM/LTC Nursing,06/25/2024,07/11/2024
Resident Care Worker,163227,Charlottetown,HS/CHSC/BGH/Meadowview,06/25/2024,07/11/2024
Social Worker 19,161174,Charlottetown,HS/MH&A/MASST Three Oaks,06/25/2024,07/11/2024
Social Worker 19 - Student Well Being Team,158748,Charlottetown,HS/MH&A/MASST Bluefield Sch,06/25/2024,07/11/2024
Ward Clerk(Emergency),161563,Charlottetown,HS/HSPF/NS/QEH/Nrsg Emergency,06/25/2024,07/11/2024
Executive Administrative Assistant,162599,Charlottetown,AF/DeptMgmt/Corporate Services,06/24/2024,07/10/2024
INFECTION CONTROL NURSE (Registered Nurse 3),163461,Charlottetown,HS/MH&A/NS/HH/Nrsg Admin,06/24/2024,07/10/2024
LPN,162056,O'Leary,HS/CHSC/MSEH/LTC Nursing,06/24/2024,07/10/2024
LPN (Female Only),159973,Charlottetown,HS/MH&A/NS/HH/UnitC-PreDischrg,06/24/2024,07/10/2024
Manager, Emergency Measures Organization,163367,Charlottetown,AG/PS&P/Emergency Measures,06/24/2024,07/10/2024
Mental Health Social WorkerL19,163329,Charlottetown,HS/MH&A/Yth Mental Hlth & A,06/24/2024,07/10/2024
Occupational Therapist 2,163295,O'Leary,HS/HSPF/CommH/Physio & Occ T,06/24/2024,Open Until Filled
Registered Nurse 1,163317,Alberton,HS/HSPF/WesternH/Emergency,06/24/2024,Open Until Filled
Resident Care Worker,163166,Tyne Valley,HS/CHSC/StewartM/LTC Nursing,06/24/2024,07/10/2024
Social Worker 17A (Mental Health & Addiction Social Work Group Facilitator),162984,Summerside,HS/MH&A/Mental Health/West,06/24/2024,07/10/2024
Social Worker L19D,159618,Charlottetown,HS/MH&A/Richmond Centre,06/24/2024,07/10/2024
(2) Addiction Counsellor - FACT,162743,Charlottetown,HS/MH&A/McGill Centre,06/21/2024,07/09/2024
(2) Préposé(e)s aux soins à domicile bilingues,162881,Summerside,HS/CHSC/HC/Summerset/Day Progr,06/21/2024,07/09/2024
(Temp) Program Officer 17,163413,Charlottetown,HS/CHSC/CommSpecialstSrv-Admin,06/21/2024,07/09/2024
2 - (BIL) Home Support Worker,162881,Summerside,HS/CHSC/HC/Summerset/Day Progr,06/21/2024,07/09/2024
Casual LPN,163468,Charlottetown,HS/CHSC/Obs Clinic,06/21/2024,07/09/2024
Food Service Supervisor 2,162913,Summerside,HS/HSPF/SP/PCH/Nutrition Serv,06/21/2024,07/09/2024
LPN,161286,Summerside,HS/CHSC/SummersetM/LTC Nursing,06/21/2024,07/09/2024
Licensed Practical Nurse (Emergency Department - Mental Health Crisis Response),163286,Summerside,HS/HSPF/NS/PCH/Crisis Response,06/21/2024,07/09/2024
Resident Care Worker,162826,Tyne Valley,HS/CHSC/WedgewoodM/NrsgReplace,06/21/2024,07/09/2024
Social Worker 18,162441,Charlottetown,HS/MH&A/NS/HH/ACPU S&S,06/21/2024,07/09/2024
Social Worker L19D,162619,Charlottetown,HS/MH&A/Richmond Centre,06/21/2024,07/09/2024
Cas. Clerk 2,163433,Charlottetown,HS/HSPF/HP/QEH/Phys Med Admin,06/20/2024,07/08/2024
Casual Service Worker 1,160438,Charlottetown,,06/20/2024,07/08/2024
HRIS Administrator,163415,Charlottetown,HS/HR/Organizational Devel,06/20/2024,07/08/2024
LPN,162405,O'Leary,HS/CHSC/MSEH/LTC Nursing,06/20/2024,07/08/2024
LPN,162833,Montague,HS/CHSC/RiverviewM/LTC Nursing,06/20/2024,07/08/2024
LPN,163247,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,06/20/2024,07/08/2024
LPN - OR Tech,162429,Charlottetown,HS/HSPF/NS/QEH/Operating Room,06/20/2024,07/08/2024
Licensed Practical Nurse,162824,Summerside,HS/CHSC/WedgewoodM/LTC Nursing,06/20/2024,07/08/2024
Licensed Practical Nurse,162553,Summerside,HS/CHSC/WedgewoodM/LTC Nursing,06/20/2024,07/08/2024
Licensed Practical Nurse (Operating Room Technician),162555,Charlottetown,HS/HSPF/NS/QEH/Operating Room,06/20/2024,07/08/2024
Patient Care Worker,163262,Summerside,HS/MH&A/NS/PCH/Psychiatry,06/20/2024,07/08/2024
Patient Care Worker (Float Nursing),163264,Summerside,HS/HSPF/NS/PCH/Float,06/20/2024,07/08/2024
Patient Care Worker (Medical/Palliative Care),160810,Summerside,HS/HSPF/NS/PCH/Nrsg-Medical,06/20/2024,07/08/2024
Patient Care Worker (Surgery/Restorative Care),161878,Summerside,HS/HSPF/NS/PCH/Nrsg-Surgery,06/20/2024,07/08/2024
Program Officer 19,163246,Summerside,HS/CHSC/HC/Prov. Home Care,06/20/2024,07/08/2024
Social Service Wkr 13,163256,Charlottetown,HS/MH&A/335 Brackley Stables,06/20/2024,07/08/2024
Ward Clerk (Surgery/Restorative Care),160739,Summerside,HS/HSPF/NS/PCH/Nrsg-Surgery,06/20/2024,07/08/2024
(6) Resident Care Worker - Male Only - Summer Relief,161906,Charlottetown,HS/MH&A/NS/HH/Nrsg Casual,06/19/2024,07/05/2024
Clerk 5,161619,Montague,HS/CHSC/RiverviewM/Adm/Activit,06/19/2024,07/05/2024
DiagnosticSonographer Specialist - Vascular Sonographer (Special Testing Ambulatory Care),162432,Charlottetown,HS/HSPF/NS/QEH/Clinic Vascular,06/19/2024,Open Until Filled
EMR Advisor,163311,Charlottetown,HS/P&I/iEHR Electronic MedRec,06/19/2024,07/05/2024
LPN,161724,Summerside,HS/CHSC/WedgewoodM/Admin,06/19/2024,07/05/2024
Licensed Practical Nurse,158570,Summerside,HS/CHSC/WedgewoodM/LTC Nursing,06/19/2024,07/05/2024
Licensed Practical Nurse,155955,Summerside,HS/CHSC/WedgewoodM/LTC Nursing,06/19/2024,07/05/2024
Licensed Practical Nurse,162007,Summerside,HS/CHSC/WedgewoodM/LTC Nursing,06/19/2024,07/05/2024
Licensed Practical Nurse,161530,Summerside,HS/CHSC/WedgewoodM/LTC Nursing,06/19/2024,07/05/2024
Nurse Practitioner,163416,Charlottetown,HS/CHSC/CommSpecialstSrv-Admin,06/19/2024,07/05/2024
Registered Nurse 1 (Unit 8),162696,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 8,06/19/2024,Open Until Filled
Registered Nurse 4 (QEH Nursing Administration),163150,Charlottetown,HS/HSPF/NS/QEH/Nrsg AdmGeneral,06/19/2024,Open Until Filled
Speech Lang Pathologist 18D (Physical Medicine),161287,Charlottetown,HS/HSPF/HP/QEH/Phys Med OccTh,06/19/2024,07/05/2024
BIL Combined Service Worker 1,162691,Summerside,HS/CHSC/SP/SummersetM/Nutritio,06/18/2024,07/04/2024
BIL Resident Care Worker,161430,Summerside,HS/CHSC/SummersetM/LTC Nursing,06/18/2024,07/04/2024
CIS Clinical Leader RN2,162001,Summerside,HS/HSPF/NS/PCH/Nrsg-Admin.,06/18/2024,Open Until Filled
Clerk 5,162723,Montague,HS/CHSC/Home Care/Kings,06/18/2024,07/04/2024
Licensed Practical Nurse -ACPU/SS,158173,Charlottetown,HS/MH&A/NS/HH/UnitA-Psych ICU,06/18/2024,07/04/2024
Mental Health Social Worker,156008,Charlottetown,HS/MH&A/Fitzroy Street,06/18/2024,07/04/2024
Mental Health Social Worker 19,158203,Montague,HS/CHSC/FHC/Montague-East,06/18/2024,07/04/2024
Provincial Diagnostic Sonographer,163281,Summerside,HS/HSPF/HP/PCH/Ultrasound,06/18/2024,07/04/2024
Préposé(e) aux services combinés bilingues 1,162691,Summerside,HS/CHSC/SP/SummersetM/Nutritio,06/18/2024,07/04/2024
Registered Nurse 4,163136,Charlottetown,HS/HSPF/NS/QEH/Nrsg AdmGeneral,06/18/2024,Open Until Filled
School Mental Health Team Lead,159406,Summerside,HS/MH&A/MASST Three Oaks,06/18/2024,07/04/2024
Admin Assistant 11,163337,Charlottetown,HS/Fin/Administration,06/17/2024,07/03/2024
Administratrice ou administrateur bilingue des programmes de français,162446,Charlottetown,PS/SC&OD/Staff/Class & HR Plan,06/17/2024,07/03/2024
Bilingual French Language Program Administrator,162446,Charlottetown,PS/SC&OD/Staff/Class & HR Plan,06/17/2024,07/03/2024
Clerk 5,163353,O'Leary,HS/CHSC/MSEH/LTC Nursing,06/17/2024,07/09/2024
Infection Control Professional (Registered Nurse 3),163051,Charlottetown,HS/CNPP/Infection Control,06/17/2024,07/03/2024
Licensed Practical Nurse (Emergency Department - Mental Health Crisis Response),163164,Summerside,HS/HSPF/NS/PCH/Crisis Response,06/17/2024,07/03/2024
Medical Secretary 2,161592,Summerside,HS/CHSC/FHC/HarboursideHlthCtr,06/17/2024,07/03/2024
Registered Nurse 1,162882,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 3,06/17/2024,Open Until Filled
Ward Clerk (Intensive Care Unit),162822,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,06/17/2024,07/03/2024
(Temp) Program Dev. Lead,163293,Charlottetown,HS/CHSC/CommSpecialstSrv-Admin,06/14/2024,07/02/2024
Clerk 7 Scheduler,162722,Montague,HS/CHSC/Home Care/Kings,06/14/2024,07/02/2024
Electrician/Electronics Trade,162930,O'Leary,HS/HSPF/SP/CommH/Maintena,06/14/2024,07/02/2024
LPN,160820,Charlottetown,HS/MH&A/NS/HH/ACPU S&S,06/14/2024,07/02/2024
LPN - Replacement,161932,O'Leary,HS/CHSC/MSEH/Nrsg Replacement,06/14/2024,07/02/2024
LPN Replacement,160949,Summerside,HS/CHSC/WedgewoodM/NrsgReplace,06/14/2024,07/02/2024
Physiotherapist 1 (Physical Medicine),163131,Charlottetown,HS/HSPF/HP/QEH/Phys Med Physio,06/14/2024,Open Until Filled
Resident Care Worker,163117,Montague,HS/CHSC/RiverviewM/LTC Nursing,06/14/2024,07/02/2024
Resident Care Worker,163119,Montague,HS/CHSC/RiverviewM/LTC Nursing,06/14/2024,07/02/2024
Speech Lang Pathologist 18D (Physical Medicine),159141,Charlottetown,HS/HSPF/HP/QEH/Phys Med OccTh,06/14/2024,07/02/2024
Cas. Med. Secretary 2,163287,Summerside,HS/CHSC/FHC/HarboursideHlthCtr,06/13/2024,Open Until Filled
Casual LPN,163289,Summerside,HS/CHSC/FHC/HarboursideHlthCtr,06/13/2024,06/28/2024
Casual Registered Nurse 2,163291,Summerside,HS/CHSC/FHC/HarboursideHlthCtr,06/13/2024,Open Until Filled
Cook 2,161777,Charlottetown,HS/CHSC/SP/PEH/Nutrition Serv,06/13/2024,06/28/2024
LPN,163279,Central Region,,06/13/2024,06/28/2024
Medical Secretary 2,161643,Charlottetown,HS/CHSC/FHC/4Neigh/East,06/13/2024,06/28/2024
Medical Secretary 2,161342,Charlottetown,HS/CHSC/FHC/Parkdale Medical,06/13/2024,06/28/2024
Occupational Therapist 2,161291,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,,Open Until Filled
Resident Care Worker,163107,Summerside,HS/CHSC/SummersetM/LTC Nursing,06/13/2024,06/28/2024
(Temp) Pharmacy Manager,163109,Charlottetown,HS/HSPF/HP/QEH/Pharmacy,06/12/2024,06/27/2024
Diagnostic Sonographer,162945,Charlottetown,HS/HSPF/HP/QEH/DiagImag-Ultras,,Open Until Filled
Food Service Supervisor 2,163006,Summerside,HS/HSPF/SP/PCH/Nutrition Serv,06/12/2024,06/27/2024
Home Support Worker - Summer Relief,162000,Montague,HS/CHSC/Home Care/Kings,06/12/2024,06/27/2024
LPN Replacement,160786,Summerside,HS/CHSC/WedgewoodM/NrsgReplace,06/12/2024,06/27/2024
LTC Program Manager,163265,Charlottetown,HS/CHSC/CHC-Administration,06/12/2024,06/27/2024
Licensed Practical Nurse,162534,Summerside,HS/CHSC/SummersetM/LTC Nursing,06/12/2024,06/27/2024
Licensed Practical Nurse,161922,Summerside,HS/CHSC/WedgewoodM/LTC Nursing,06/12/2024,06/27/2024
Occupational Therapist 2,163065,Charlottetown,HS/MH&A/AD Youth Addictions,06/12/2024,Open Until Filled
Psychologist L20B - Operational Stress Injury Clinic,163259,Charlottetown,HS/MH&A/OccupStressInjClinic,06/12/2024,06/27/2024
Registered Nurse 2 (Home Care Nurse),162788,O'Leary,HS/CHSC/Home Care/Prince,06/12/2024,Open Until Filled
Senior Linear Accelerator Technologist (Bio-medical),162430,Charlottetown,HS/HSPF/SP/QEH/Maintenance,06/12/2024,Open Until Filled
Social  Worker L19D,162758,Charlottetown,HS/MH&A/McGill Centre,06/12/2024,06/27/2024
Social Worker 17A,158458,Montague,HS/HSPF/KCMH/Occup Therapy,06/12/2024,06/27/2024
Social Worker 19 - Occupational Stress Injury Clinic,162760,Charlottetown,HS/MH&A/OccupStressInjClinic,06/12/2024,06/27/2024
Student Well-being Team Lead (Social Worker 19),161385,Charlottetown,HS/MH&A/MASST ChTown Rural,06/12/2024,06/27/2024
Ward Clerk,162316,Montague,HS/HSPF/KCMH/Emergency,06/12/2024,06/27/2024
Admin Assistant 12,161934,Summerside,HS/HSPF/PCH/General Admin,06/11/2024,07/04/2024
